id,name,id_artists,artists,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,DistancesToClusterCenter no.3,DistancesToClusterCenter no.4,DistancesToClusterCenter no.5,DistancesToClusterCenter no.6,DistancesToClusterCenter no.7,DistancesToClusterCenter no.8,DistancesToClusterCenter no.9
2WsMZENaoK8xGSUPFTxW4u,抱歉,['7ya3wFqG9X35S7L7XSrE2i'],['Sam Lee'],0,0.0721488876597304,0.5898702266608511,0.545460191016671,0.414188644433886,0.555506857512958,0.965939720375706,0.847814579963578,1.11869386609431,0.682994100005213,1.0296420982002
7z8EToBsmy2hYb0BcSbF4F,Meditation,['3ESG6pj6a0LvUKklENalT6'],['Doris Day'],1,0.563148403210638,0.0594308379733281,1.00315243887488,0.9765238470978,0.584233268025771,0.966904339175438,1.20055398177437,0.8500371753630971,0.960549031944424,0.900433179563158
7jx1Qhe0MM6f6ueIRiVxcg,Milostna,['3o13BpwuBBj106YoNIoUrW'],['Daniel Landa'],2,0.565543027883106,1.00088030955577,0.0435056654360875,0.440665689988634,0.595015243410043,1.0621917897730602,0.8529075336889058,1.4580323894722,0.695253310663556,1.1356400818258798
0cHkeSotcFG5tExiaqutKr,Way Back Home - Original,['6fXEqmGQEt6ONuqVmwrN46'],['Bag Raiders'],3,0.40278163999287503,0.936601281041356,0.395945983499699,0.0627196507507914,0.7464497465069241,1.07609582772065,0.7566514729238291,1.36829467845653,0.656135365700145,1.20828479380381
7hIs33FGOXKSNu9LhQ9LKB,Breathless,['4UXJsSlnKd7ltsrHebV79Q'],['Nick Cave & The Bad Seeds'],4,0.5570084981857479,0.5376280033313979,0.621450502016538,0.80826917496941,0.0724696754586567,0.9100425795890048,1.06873695464674,1.11638132336901,0.787758945754479,0.8108064474053609
6oMgqyLGBVrDhSb1JBEHTH,008 - Auf der Spur der Vogeljäger - Teil 08,['0i38tQX5j4gZ0KS3eCMoIl'],['TKKG Retro-Archiv'],5,0.9733774797685508,0.961434710829924,1.0990105074812,1.15567219805997,0.9042033768657428,0.0968863968344481,1.3585602808853998,1.34991597931155,1.04457017527422,1.1961982199995702
2i6s8ZLoycU1X9eL0RbY8C,חתולים,['2wp6i8BxLF3UrF1J3LY4WC'],['Berry Sakharof'],6,0.796551900801297,1.1165849226221398,0.816107119923427,0.7342133426968621,0.9915401742428872,1.28314175146109,0.12100697734096902,1.02732864259333,0.905032423469078,0.857630365436008
2IQyxP7ug0qvJXVEkUi8l6,Oltre la collina...,['05JkDGFMHqlIz0GPjLh2p3'],['Mia Martini'],7,1.07501341030699,0.8247196721964369,1.4204179261006695,1.36884955300401,1.09998314795133,1.3380441896593798,1.07856767487621,0.0828814497381499,1.37767783674125,0.602307215096338
5rmMTtbnrCtcZCVgQGXsNy,"Résiste (Live au Zénith, 1985) - Remasterisé en 2004",['22HVxZPA6UhBp8wahxDA6I'],['France Gall'],8,0.7342536972772571,0.977328285099426,0.7530783933720909,0.7005947643520071,0.8100959470994429,1.04082623926025,1.00949643660953,1.39977809356234,0.10437429217129,1.20907688695266
7xURmE75bDRMvDiTKOR8bT,Quien Sena (Sway),['1kiuYnpzdoWeSpdHObdhQ6'],['Al Caiola'],9,0.929213048771806,0.8171203208242049,1.05211207579071,1.15212096712652,0.7468173177955559,1.15012239342386,0.8472370728376591,0.621837686535703,1.0947471927218,0.0969462819134354
